,min_loss_val,max_acc_val,h_layers,heights,lr,batch_size,keep_rates,reshuff,max_strikes,max_consec,epochs_min_loss_val,total_sec
2.99E+17,1.550504972,0.392,12,"contracting, (1626 => 1109)",0.000570252,9257,"range: (0.9523931667873609, 1)",TRUE,2,2,4,515.06
3.93E+17,1.109068848,0.5522,8,"flat, (220 => 220)",0.0003,6937,"range: (0.5490404831286315, 1)",FALSE,2,2,7,74.63
1.59E+18,1.334863118,0.5664,8,"flat, (184 => 184)",0.0003,2206,"range: (0.507294820245198, 1)",FALSE,2,2,2,35.33
2.01E+18,0.87555605,0.6422,12,"contracting, (545 => 303.93009374166417)",0.000648659,9074,"range: (0.9986011833332963, 1)",TRUE,2,2,4,105.49
1.14E+18,0.932153485,0.6609,13,"flat, (572 => 572)",0.00095482,9865,"range: (0.9087116070937886, 1)",TRUE,2,2,11,363.04
1.67E+18,0.618009114,0.7671,7,"expanding, (944 => 532)",0.0003,6961,"range: (0.6442353114056021, 1)",FALSE,2,2,6,221.6
1.50E+18,0.589302044,0.7878,5,"contracting, (100 => 70)",0.01,512,"range: (0.9, 1)",TRUE,2,2,2,24.65
3.03E+17,0.545092684,0.7976,11,"expanding, (1777 => 1962)",0.00092023,2101,"range: (0.8702711220624253, 1)",TRUE,2,2,10,1934.76
7.04E+17,0.551723726,0.8028,8,"contracting, (209 => 160)",0.000591952,7266,"range: (0.8928507271202502, 1)",FALSE,2,2,16,142.04
1.35E+18,0.482592029,0.8112,15,"contracting, (1254 => 711)",0.000917911,2025,"range: (0.8841466290164461, 1)",FALSE,2,2,16,1416.36
7.59E+17,0.526854435,0.8125,6,"contracting, (630 => 423)",0.0003,8315,"range: (0.713306727299954, 1)",FALSE,2,2,8,149.52
1.80E+17,0.543606067,0.8125,3,"contracting, (21 => 10)",0.000803865,2537,"range: (0.9852079882204429, 1)",FALSE,2,2,36,130.12
3.24E+17,0.493229368,0.8205,14,"flat, (143 => 143)",0.00052005,5444,"range: (0.9678354861191383, 1)",FALSE,2,2,26,288.76
5.95E+17,0.472807832,0.8269,9,"expanding, (1743 => 2389)",0.000614784,4646,"range: (0.8687613337152396, 1)",TRUE,2,2,12,2181.57
2.13E+17,0.453061904,0.8288,14,"contracting, (144 => 84)",0.000654097,784,"range: (0.9736111117569898, 1)",TRUE,2,2,10,118.59
6.04E+17,0.454081142,0.8391,3,"expanding, (857 => 606)",0.0003,7065,"range: (0.662246147073855, 1)",TRUE,2,2,8,105.33
2.14E+17,0.443589628,0.842,9,"contracting, (903 => 823)",0.0003,2440,"range: (0.7091492568724138, 1)",TRUE,2,2,8,412.96
1.37E+18,0.445774752,0.8446,14,"flat, (2215 => 2215)",0.000667601,247,"range: (0.9061539814371925, 1)",TRUE,2,2,7,3468.31
1.34E+18,0.419744925,0.8454,10,"expanding, (955 => 1216)",0.000507057,6323,"range: (0.988936665193871, 1)",FALSE,2,2,6,449.06
2.07E+18,0.417893699,0.8501,4,"expanding, (254 => 494)",0.000229361,4137,"range: (0.8503635118921048, 1)",TRUE,2,2,12,112.21
1.95E+18,0.406563995,0.8547,4,"flat, (273 => 273)",0.000291658,4713,"range: (0.9704789984664436, 1)",TRUE,2,2,13,100.32
4.87E+17,0.393144867,0.856,4,"flat, (254 => 254)",0.0003,3038,"range: (0.9321465977143959, 1)",FALSE,2,2,12,81.89
6.46568E+15,0.376120468,0.8599,10,"contracting, (852 => 516)",0.000157882,5838,"range: (0.898538311133461, 1)",FALSE,2,2,11,380.44
2.95604E+15,0.393059921,0.8609,1,"flat, (884 => 884)",0.000579432,1076,"range: (0.98304833508192, 1)",FALSE,2,2,4,40.87
3.12E+17,0.381888059,0.8615,6,"flat, (1153 => 1153)",0.000632585,6880,"range: (0.9221183688410545, 1)",FALSE,2,2,6,269.65
2.28E+18,0.379274959,0.8622,8,"expanding, (1103 => 2068)",0.000225112,7912,"range: (0.8868153503644303, 1)",FALSE,2,2,15,1446.04
4.21E+17,0.385343649,0.863,7,"flat, (574 => 574)",0.000133094,7345,"range: (0.9064493101044626, 1)",TRUE,2,2,18,342.47
9.89945E+15,0.3832284,0.8639,5,"contracting, (931 => 740)",0.000188704,9126,"range: (0.9079172238072719, 1)",TRUE,2,2,13,298.64
2.25E+18,0.366662086,0.8641,11,"expanding, (1272 => 1706)",0.000650623,9990,"range: (0.9715114110487995, 1)",FALSE,2,2,21,2434.95
1.30E+18,0.381524787,0.8649,2,"expanding, (624 => 617)",0.0003,4569,"range: (0.9076007972881606, 1)",TRUE,2,2,12,100.72
1.43E+17,0.372773006,0.8662,1,"expanding, (758 => 1336)",0.000753157,2919,"range: (0.9408364789868892, 1)",FALSE,2,2,11,69.66
6.91E+17,0.374081203,0.8664,5,"contracting, (356 => 198)",0.000498659,5199,"range: (0.8724856780876896, 1)",FALSE,2,2,18,159.02
1.42E+18,0.369100217,0.8668,4,"contracting, (642 => 516)",0.0003,4172,"range: (0.6102472173828725, 1)",FALSE,2,2,17,225.47
1.27E+18,0.364579191,0.8683,9,"flat, (427 => 427)",0.000739016,2767,"range: (0.8856877962937623, 1)",FALSE,2,2,11,210.67
1.51E+18,0.359833845,0.8684,7,"contracting, (2481 => 2090)",0.0006904,3773,"range: (0.9101788410476772, 1)",TRUE,2,2,12,1752.69
2.28E+18,0.362762044,0.8692,5,"flat, (361 => 361)",0.0003,1764,"range: (0.8371940315460185, 1)",FALSE,2,2,11,123.25
2.14E+18,0.360781528,0.8694,9,"expanding, (1352 => 2091)",0.000890438,5688,"range: (0.946544781882537, 1)",FALSE,2,2,18,2148.67
1.11E+18,0.361660495,0.8699,4,"expanding, (582 => 886)",0.0003,5124,"range: (0.9586053485187362, 1)",FALSE,2,2,9,148.65
7.20E+17,0.371781597,0.8699,1,"flat, (1827 => 1827)",0.000922798,4813,"range: (0.9083291549555802, 1)",TRUE,2,2,10,104.85
1.29E+18,0.353384871,0.8703,5,"contracting, (1631 => 1269)",0.000543435,8408,"range: (0.8541289766652589, 1)",TRUE,2,2,14,679.57
1.58E+18,0.365448487,0.8706,2,"contracting, (457 => 370)",0.0003,3366,"range: (0.7964142482338132, 1)",FALSE,2,2,20,134.38
1.49E+18,0.368028333,0.871,1,"contracting, (2115 => 1555)",0.00064002,3263,"range: (0.9793581220976401, 1)",FALSE,2,2,9,106.19
2.11E+18,0.358585723,0.8711,3,"expanding, (282 => 394)",0.000594343,5203,"range: (0.9941125678126558, 1)",FALSE,2,2,15,99.49
1.51E+18,0.353573566,0.8717,7,"contracting, (1152 => 965)",0.00038666,7891,"range: (0.9880689767730996, 1)",TRUE,2,2,8,373.7
1.12E+18,0.351692505,0.8719,4,"contracting, (2101 => 1473)",0.000401231,75,"range: (0.9157313153164707, 1)",TRUE,2,2,2,537.61
2.10E+18,0.346968806,0.872,2,"expanding, (1141 => 1400)",0.000484416,1064,"range: (0.9898878400860124, 1)",TRUE,2,2,5,111.39
